Gender,Age,Employment Type,Credit Score,Source of Lead,Loan Period,Value of Collateral,Monthly Income,Bank Account Type,Existing EMI,Loan Amount,Estimated EMI,New Debt to Income ratio,Loan Approved
Male,25,Salaried,507,Walk-in,1,404442,193574,Current,10293,412763,415170.78416666255,2.1979386909743175,0
Male,28,Business,644,Walk-in,1,441198,124710,Savings,8128,432960,435485.59999999567,3.5571614144815626,0
Female,64,Salaried,538,Walk-in,10,148579,41607,Savings,5789,348669,35995.305536783955,1.0042614352581045,0
Female,51,Business,655,Walk-in,10,71367,78543,Savings,15084,243824,25171.49324201696,0.5125280832412432,0
Female,50,Salaried,497,Walk-in,20,394450,132117,Savings,19568,392258,20836.311150387133,0.30582219661653787,0
Female,65,Salaried,519,Walk-in,5,187100,193073,Savings,8618,100506,20454.33500379125,0.15057690616394445,0
Male,65,Salaried,805,Walk-in,1,368018,93294,Savings,18929,396477,398789.7824999961,4.477445307308038,0
Male,38,Self Employed,459,Walk-in,20,137028,57191,Savings,1315,73549,3906.841540006382,0.0913053022329804,0
Male,29,Salaried,577,Email,5,180898,71957,Savings,6489,370431,75387.7357549738,1.1378564386365995,0
Female,31,Salaried,510,Online,20,486030,144658,Savings,8702,397854,21133.564481606805,0.20624897677008397,1
Female,56,Salaried,615,Walk-in,5,149761,95614,Savings,8632,345178,70248.40753724807,0.8249880513026133,0
Male,48,Business,662,Walk-in,1,460020,47802,Savings,5865,486630,489468.67499999516,10.362195619430048,0
Male,48,Salaried,781,Online,5,21481,192103,Current,6122,354984,72244.06161807089,0.40793772933307076,0
Male,41,Salaried,636,Walk-in,1,347285,96940,Savings,2769,185430,186511.67499999815,1.9525549308850645,0
Male,33,Business,820,Online,1,479855,132000,Savings,6371,262930,264463.75833333074,2.0517784722222028,0
Female,47,Salaried,564,Walk-in,5,397410,190503,Savings,19428,325601,66264.22235060029,0.4498208550553025,0
Female,38,Business,562,Walk-in,1,226406,130144,Savings,10849,347673,349701.09249999654,2.7703935064236274,0
Female,45,Self Employed,704,Walk-in,1,421586,169743,Savings,15163,140232,141050.0199999986,0.9202913816769975,0
Male,45,Salaried,685,Walk-in,5,487406,55668,Savings,13077,421159,85711.57220326863,1.7746025041903541,0
Male,50,Salaried,576,Walk-in,5,272395,42573,Savings,11799,186246,37903.588612780375,1.167467376336654,0
Female,62,Business,735,Walk-in,5,63356,189614,Current,8587,215819,43922.09545881065,0.27692625786498176,0
Female,28,Business,546,Call,1,345313,80258,Current,17211,192989,194114.76916666474,2.6330804301959274,0
Female,34,Business,575,Online,10,266173,137608,Savings,7828,395435,40823.25542258751,0.3535496150121178,0
Female,40,Business,516,Walk-in,10,68396,145687,Savings,7331,400740,41370.92411659999,0.33429148871622033,0
Female,21,Salaried,762,Walk-in,10,69049,120431,Savings,11782,447339,46181.633536446876,0.48130160454074844,0
Female,33,Self Employed,759,Email,5,167059,24782,Savings,19388,52098,10602.650041067363,1.2101787604336762,0
Male,31,Salaried,540,Email,1,41138,186934,Savings,14491,342336,344332.9599999966,1.919522184300323,0
Male,56,Salaried,586,Walk-in,5,247959,187078,Savings,17175,390393,79450.27366659777,0.5164972560461293,0
Male,40,Salaried,760,Walk-in,20,332610,134529,Savings,16886,458280,24343.326774723308,0.306471666144276,1
Male,44,Salaried,752,Online,5,397893,110615,Savings,12084,446062,90779.67067101598,0.9299251518421189,0
Female,62,Business,679,Call,1,267616,120953,Savings,14663,491029,493893.3358333285,4.204578107474213,0
Male,44,Salaried,444,Walk-in,1,432692,102087,Current,18432,91447,91980.44083333242,1.081552409546097,0
Female,44,Salaried,608,Walk-in,20,220833,19774,Savings,5479,261238,13876.673649243186,0.9788446267443708,0
Female,38,Salaried,787,Call,10,144800,176787,Savings,19058,42156,4352.0304363412415,0.1324194111351018,0
Male,57,Self Employed,813,Online,5,417430,158252,Savings,11600,470132,95678.24233381476,0.6778950176542146,0
Male,54,Salaried,484,Walk-in,5,177721,143782,Savings,14604,486924,99095.64222420602,0.7907779988051774,0
Female,46,Business,614,Walk-in,20,209091,96964,Savings,19886,481977,25602.085207516837,0.4691234397046,0
Male,50,Salaried,850,Online,1,489796,117674,Savings,19994,132676,133449.94333333202,1.3039749080793719,0
Male,42,Business,696,Walk-in,10,35297,35148,Savings,12236,436829,45096.619780731286,1.6311773011474704,0
Male,48,Salaried,660,Online,10,223439,198256,Savings,18554,160972,16618.157401051387,0.1774077828718999,0
Male,26,Salaried,737,Walk-in,5,467879,59342,Current,12839,373484,76009.06268835661,1.497220563654016,0
Female,39,Salaried,674,Walk-in,1,449838,68479,Savings,17626,109869,110509.9024999989,1.8711707603790784,0
Female,54,Self Employed,705,Online,1,390442,178925,Savings,1439,42293,42539.709166666245,0.24579409901727678,1
Female,45,Salaried,790,Email,20,91068,29066,Current,9401,353513,18778.219599617616,0.9694908002345564,0
Female,38,Salaried,460,Walk-in,10,330153,136469,Current,11827,64022,6609.395877109759,0.13509585237020685,0
Female,63,Business,627,Walk-in,20,99389,96084,Savings,3276,407927,21668.63110158103,0.2596127461552499,0
Male,29,Salaried,680,Walk-in,10,367810,186067,Savings,12623,42156,4352.0304363412415,0.09123074180989237,1
Female,31,Business,754,Walk-in,20,397878,182131,Savings,8581,466594,24784.957260027164,0.18319757350493415,1
Female,35,Business,576,Email,20,363882,23779,Savings,6447,359927,19118.924186187127,1.0751471544718922,0
Female,66,Business,498,Walk-in,5,171568,56562,Savings,15249,436516,88836.93011874853,1.8402095067138455,0
Female,57,Salaried,637,Walk-in,5,395881,79627,Savings,15184,140548,28603.425428460512,0.5499067581154697,0
Male,38,Business,540,Walk-in,10,76720,79981,Savings,8174,485455,50116.58922748927,0.7288054566395678,0
Male,59,Self Employed,488,Walk-in,10,484429,63294,Savings,18086,414824,42824.90449105274,0.962348792793199,0
Male,37,Self Employed,841,Walk-in,5,439158,98176,Current,17919,161550,32877.61745430597,0.5174036165081687,1
Male,56,Self Employed,769,Walk-in,20,401691,25353,Current,9989,51876,2755.595748811963,0.5026859049742423,1
Female,43,Business,673,Walk-in,1,226360,127123,Savings,5067,255526,257016.5683333308,2.061653424898176,0
Female,25,Self Employed,545,Walk-in,5,260776,111406,Savings,4321,43181,8787.919525189638,0.11766798489479595,0
Male,52,Self Employed,708,Walk-in,10,299383,158943,Savings,2560,183695,18963.996370711273,0.135419593003223,1
Female,27,Self Employed,834,Call,1,416119,58377,Savings,28,308710,310510.80833333026,5.319540372635289,0
Male,62,Salaried,441,Walk-in,5,454350,140902,Savings,12891,52780,10741.446296739517,0.16772257524193776,0
Male,35,Salaried,492,Walk-in,30,240387,36670,Savings,9172,50498,1839.7384522554187,0.30029284025785163,0
Male,64,Business,598,Email,10,148243,156383,Savings,14950,495190,51121.59483280718,0.42249857614195396,0
Male,44,Salaried,542,Walk-in,20,274804,19955,Savings,3583,263229,13982.433367337962,0.8802522358976679,0
Female,43,Business,645,Online,10,58200,58360,Savings,5108,393595,40633.30058809496,0.7837782828666031,0
Male,41,Salaried,488,Walk-in,10,435874,159394,Savings,9850,423233,43693.0187319483,0.33591614949087356,0
Female,39,Self Employed,815,Walk-in,10,129267,138689,Savings,15973,433639,44767.295910062145,0.437960443222333,0
Female,67,Salaried,703,Walk-in,1,23289,15152,Savings,7521,436385,438930.57916666236,29.464861349436532,0
Male,23,Business,704,Email,10,139060,159545,Savings,6615,50999,5264.949241459507,0.07446143245767343,0
Others,36,Self Employed,692,Walk-in,5,302118,86445,Current,10518,413688,84191.12231158731,1.0955997722434763,0
Others,65,Self Employed,699,Walk-in,30,425268,42009,Savings,5407,312466,11383.732330437675,0.399693692552493,1
Male,53,Business,521,Walk-in,5,486008,132426,Savings,9031,475550,96780.87886348007,0.7990264665811855,0
Female,32,Salaried,578,Walk-in,1,100437,96039,Current,2414,171817,172819.26583333162,1.824605273204965,0
Male,44,Salaried,511,Walk-in,10,45154,160613,Savings,4426,104104,10747.314179354506,0.09447127056561117,0
Male,40,Salaried,742,Online,10,264565,130413,Savings,14136,253272,26146.87002260696,0.30888692095578635,0
Male,65,Business,688,Walk-in,1,60149,135388,Savings,5697,497512,500414.15333332843,3.7382275632502764,0
Female,32,Business,759,Walk-in,1,243182,92270,Savings,3582,395529,397836.25249999604,4.350474179039732,0
Female,58,Business,770,Walk-in,20,331611,66517,Savings,12170,52611,2794.6381359539323,0.22497464010634774,1
Male,55,Business,796,Walk-in,5,202633,146090,Savings,6551,78020,15878.12883803746,0.15352952863329086,1
Male,45,Self Employed,520,Online,1,251087,188468,Savings,5085,250259,251718.84416666417,1.3625859252852695,0
Female,24,Salaried,760,Walk-in,5,172656,66113,Savings,9673,423716,86231.95640525354,1.4506217597938913,0
Male,39,Salaried,512,Call,5,498646,131539,Savings,19499,217713,44307.550162979365,0.4850770506312148,0
Male,37,Salaried,480,Walk-in,1,389202,54880,Savings,1386,72561,72984.27249999928,1.3551434493440102,0
Female,32,Business,644,Walk-in,30,26176,31484,Savings,5240,165618,6033.77961474985,0.3580796472732134,0
Others,55,Self Employed,617,Walk-in,5,385024,54606,Savings,14832,490478,99818.9294568436,2.09960314721539,0
Male,36,Salaried,512,Walk-in,1,47540,193193,Savings,10397,75313,75752.3258333326,0.4459236402630147,0
Female,18,Salaried,704,Walk-in,30,488109,77618,Savings,9472,16218,590.85267176281,0.12964586399756256,1
Female,53,Business,698,Online,20,438521,141804,Savings,1598,499776,26547.54840308134,0.19848204848298595,1
Male,61,Salaried,692,Walk-in,5,430489,29464,Savings,14606,392137,79805.20133506147,3.2042900263053715,0
Female,51,Salaried,614,Walk-in,5,219873,87671,Current,18366,285710,58145.86247520742,0.8727157495090443,0
Male,51,Salaried,595,Walk-in,20,435585,86565,Savings,16696,331780,17623.786674778956,0.39646261970518054,0
Female,54,Business,509,Walk-in,5,44827,148581,Savings,5236,287680,58546.78421080001,0.42927954590963857,0
Female,42,Business,469,Online,10,472147,192312,Savings,3859,329909,34058.59211554471,0.1971670624586334,0
Female,21,Salaried,752,Walk-in,10,356841,148027,Savings,18548,325277,33580.401466974334,0.35215468439524095,1
Male,33,Salaried,772,Walk-in,5,391406,22078,Current,18083,190226,38713.57262682023,2.572541562950459,0
Female,43,Business,525,Walk-in,10,43930,120847,Savings,1778,431677,44564.74624415215,0.38348280258634593,0
Male,43,Salaried,753,Online,5,121211,142307,Savings,15524,440859,89720.78955919453,0.7395615785533707,0
Male,46,Salaried,506,Walk-in,1,328478,68932,Savings,17132,225932,227249.93666666443,3.54526107855081,0
Male,47,Salaried,548,Walk-in,20,396678,97830,Savings,6298,475851,25276.67886243969,0.32275047390820494,0
Female,39,Salaried,479,Email,1,105799,86699,Savings,18191,94101,94649.92249999907,1.3015250752603729,0
Female,29,Salaried,706,Call,5,374239,60601,Current,9725,89866,18288.95060444853,0.46226878441689956,0
Male,57,Salaried,618,Walk-in,10,96202,170449,Current,3796,298489,30814.90684393825,0.20305725961395052,0
Female,44,Self Employed,679,Online,10,50479,87251,Savings,10473,55175,5696.064126699118,0.18531666257921536,0
Male,47,Business,568,Walk-in,5,269593,103062,Savings,3422,211265,42995.29465480626,0.4503822422891683,0
Female,35,Business,747,Walk-in,10,451254,54373,Savings,2209,439202,45341.59957543282,0.8745259517671053,0
Male,57,Self Employed,625,Online,1,453976,140836,Savings,19122,300683,302436.9841666637,2.2832158266825506,0
Female,32,Salaried,712,Online,10,307334,112997,Savings,8483,157959,16307.10635956984,0.21938729665008663,1
Male,59,Salaried,679,Walk-in,20,161235,130292,Savings,12414,389962,20714.350169600795,0.25426235048660545,0
Female,26,Salaried,642,Call,20,227688,70001,Savings,19124,76999,4090.1017245503185,0.3316252871323312,0
Male,60,Business,617,Call,10,244280,164826,Savings,13400,320610,33098.59754709568,0.2821071769447519,0
Male,30,Salaried,576,Walk-in,5,179314,57970,Savings,18819,483939,98488.15421367611,2.023583822902814,0
Male,41,Salaried,799,Walk-in,1,32953,144196,Current,2827,318173,320029.0091666635,2.239008080436791,0
Female,53,Salaried,756,Online,5,221661,62055,Current,19127,186417,37938.3894334841,0.9195937383528177,0
Female,31,Business,742,Walk-in,10,39799,159293,Savings,5896,456996,47178.586708563475,0.3331884433626303,0
Male,30,Self Employed,461,Walk-in,1,274432,97122,Current,17519,367063,369204.20083332964,3.9818290483446557,0
Female,41,Salaried,601,Walk-in,30,420689,96628,Savings,18094,171306,6241.004303181647,0.25184216069029314,1
Female,42,Salaried,517,Walk-in,20,420807,159942,Savings,18728,393882,20922.57623435796,0.2479059673779117,0
Female,42,Salaried,717,Online,1,498204,113546,Savings,3503,139259,140071.34416666528,1.264459727041598,0
Female,53,Salaried,709,Walk-in,10,159463,139409,Savings,18742,126437,13052.890983007817,0.22806914175560988,0
Male,37,Salaried,794,Call,20,9877,18740,Savings,16034,334678,17777.725229795862,1.8042542812057558,0
Male,40,Self Employed,597,Walk-in,1,484319,34105,Current,8095,248780,250231.2166666642,7.574438254410327,0
Female,33,Salaried,760,Walk-in,10,73127,135714,Savings,7629,85554,8832.280385964954,0.12129390030479503,0
Female,60,Salaried,643,Walk-in,5,101053,187744,Savings,3058,176614,35943.345893375394,0.2077368432193593,0
Female,24,Self Employed,812,Walk-in,1,389389,105358,Savings,16542,180048,181098.2799999982,1.8758924808747148,0
Male,41,Business,842,Call,10,229111,43519,Savings,15667,466260,48134.96800570422,1.4660715550840833,0
Male,43,Business,782,Walk-in,30,232321,65712,Savings,11742,366450,13350.47241136279,0.3818552533991172,0
Female,42,Self Employed,837,Walk-in,5,350626,73328,Savings,8421,267292,54397.54951777376,0.8566788882524242,0
Female,31,Salaried,715,Walk-in,10,52550,154759,Savings,5625,318197,32849.488299470395,0.24860905213571033,0
Female,45,Self Employed,734,Call,5,221378,144993,Savings,11600,191078,38886.966189624734,0.3482027835110987,0
Female,67,Business,585,Walk-in,20,368508,189694,Savings,14031,15432,819.7307732991405,0.07828782551529907,1
Female,41,Business,817,Walk-in,20,141566,110616,Current,1680,442480,23504.04824840615,0.22767093592614224,0
Male,48,Business,666,Online,1,78,79949,Savings,17679,350804,352850.3566666632,4.6345714976630505,0
Male,47,Salaried,700,Walk-in,20,77674,38892,Savings,14630,271401,14416.520969683776,0.7468507911571474,0
Female,56,Salaried,628,Walk-in,1,83041,16082,Savings,2984,387908,390170.7966666628,24.446884508560053,0
Female,21,Salaried,832,Online,1,363669,66905,Savings,13641,68011,68407.73083333265,1.2263467727872752,0
Male,34,Business,678,Online,10,8977,110106,Savings,1823,57175,5902.536772886671,0.07016453937920432,0
Male,43,Salaried,523,Walk-in,5,379693,154807,Savings,18712,272721,55502.424696724105,0.47939966989040617,0
Female,34,Salaried,667,Walk-in,10,294737,26255,Savings,13748,265837,27444.03442228026,1.5689215167503432,0
Male,35,Business,670,Walk-in,10,483774,120137,Current,13375,411056,42435.910025635385,0.4645605435930262,1
Male,50,Self Employed,570,Walk-in,1,462970,156166,Current,9204,216096,217356.55999999784,1.4507675166169194,0
Female,64,Business,583,Online,5,202337,75515,Savings,13540,201024,40911.1121704389,0.7210635260602384,0
Female,54,Salaried,495,Walk-in,5,133795,102010,Savings,15606,492744,100280.09120956076,1.1360267739394252,0
Female,37,Salaried,657,Walk-in,5,271917,176723,Savings,5211,364499,74180.49324962596,0.4492425618036473,0
Male,27,Salaried,525,Walk-in,1,180582,49918,Savings,2894,210179,211405.0441666646,4.29302143849242,0
Female,43,Business,436,Walk-in,1,198373,21103,Current,19079,261762,263288.9449999974,13.380464625882452,0
Male,53,Salaried,784,Walk-in,20,426788,97803,Savings,4096,102045,5420.51754544523,0.09730292062048433,1
Male,41,Salaried,614,Walk-in,20,210675,69390,Savings,5410,27203,1444.993275405425,0.09878935401938932,0
Female,38,Business,491,Walk-in,1,202257,64158,Savings,17653,340285,342269.99583333,5.609947252615886,0
Female,49,Salaried,633,Walk-in,1,346794,173083,Savings,1263,13056,13132.159999999869,0.08316911539550313,1
Female,45,Self Employed,572,Walk-in,10,431975,73889,Savings,6624,440989,45526.0828848014,0.7057895340957572,0
Female,53,Self Employed,447,Walk-in,30,488092,77267,Savings,6797,349764,12742.569607007492,0.252883761593015,0
Female,64,Salaried,832,Walk-in,5,14539,197313,Savings,17231,47109,9587.320833518415,0.13591765790149873,0
Male,24,Salaried,532,Online,20,302737,145606,Savings,4884,28279,1502.149205425505,0.043859107491624694,0
Male,28,Self Employed,474,Walk-in,10,176094,150263,Savings,18745,406089,41923.1352088286,0.40374633282197614,0
Male,33,Salaried,771,Walk-in,30,360590,151695,Savings,11832,85812,3126.2948248434,0.09860769850584002,1
Male,55,Business,570,Walk-in,1,125114,17293,Savings,2186,174159,175174.92749999827,10.256226652402606,0
Others,43,Business,543,Email,30,355815,166665,Savings,16881,75880,2764.453122047233,0.11787389747125812,0
Male,40,Business,550,Walk-in,5,125049,107703,Savings,2168,380999,77538.4671771781,0.740058003743425,0
Female,38,Salaried,568,Call,30,322909,117729,Savings,6608,489873,17847.007699744918,0.2077228864574142,0
Female,54,Salaried,469,Walk-in,5,238691,50992,Current,7133,279370,56855.586432741926,1.254875008486467,0
Female,39,Salaried,693,Walk-in,10,164123,98160,Savings,7053,191122,19730.732542328748,0.27285791098541917,0
Female,42,Salaried,579,Walk-in,20,96782,30848,Savings,2411,39037,2073.6022678381637,0.14537740754143424,0
Female,47,Salaried,769,Walk-in,10,475519,76173,Savings,17047,101221,10449.68385987515,0.3609767747085601,1
Female,31,Salaried,545,Walk-in,10,443946,127911,Savings,966,374051,38615.649889550186,0.3094468019916206,0
Male,41,Business,455,Walk-in,5,356128,161831,Savings,8741,47756,9718.994114192732,0.11406957946371668,0
Female,24,Salaried,524,Online,20,478081,153589,Savings,15694,43411,2305.944310503434,0.11719553034724774,1
Male,23,Salaried,499,Walk-in,20,438458,45980,Savings,4842,343475,18245.012140935865,0.5021098769233551,0
Male,57,Salaried,619,Walk-in,1,474119,23455,Current,10328,355828,357903.6633333298,15.699495345697283,0
Female,48,Business,617,Walk-in,10,197231,21944,Savings,15935,263396,27192.03455760835,1.9653223914331184,0
Male,41,Self Employed,696,Walk-in,20,33312,79627,Savings,17276,45025,2391.678205533554,0.24699760389734077,0
Female,37,Self Employed,511,Call,10,269730,79723,Savings,9440,452452,46709.480856425354,0.704307174296318,0
Female,40,Salaried,659,Online,20,344977,173172,Current,2433,31396,1667.7207982438968,0.02368004526276706,1
Female,33,Salaried,613,Walk-in,20,387161,15858,Savings,17574,235861,12528.675474410871,1.8982643129279146,0
Male,29,Salaried,556,Walk-in,20,346607,52011,Current,18121,325803,17306.295044918345,0.6811500460463814,0
Male,24,Business,652,Walk-in,10,454292,111054,Savings,16720,188586,19468.925226962932,0.32586782310374174,1
Female,29,Business,637,Walk-in,30,455615,30437,Savings,434,83192,3030.843227851258,0.11383655510895482,1
Male,46,Salaried,618,Online,20,372635,40550,Current,17655,34959,1856.9834178178235,0.4811833148660376,0
Others,44,Business,498,Walk-in,20,411347,171933,Savings,4582,119474,6346.3267502035715,0.06356154286962695,1
Others,56,Salaried,749,Walk-in,1,247923,187083,Savings,10023,461772,464465.6699999954,2.5362468530010496,0
Female,57,Salaried,623,Walk-in,1,15020,43929,Savings,6843,203799,204987.82749999798,4.822118133806779,0
Male,53,Salaried,695,Call,10,467987,147091,Savings,5189,199615,20607.51863436419,0.1753779540173375,1
Male,58,Business,511,Walk-in,10,98170,39284,Savings,1767,194992,20130.257112701664,0.557409049809125,0
Female,31,Salaried,678,Call,5,321667,92350,Savings,12830,110548,22498.018287456616,0.38254486505096497,0
Male,29,Salaried,622,Walk-in,1,337187,125839,Savings,804,476559,479338.9274999953,3.815533558753608,0
Male,31,Salaried,582,Email,5,63477,129680,Savings,10184,325821,66308.995336301,0.5898596185711058,0
Female,49,Salaried,556,Walk-in,20,247137,90640,Current,3180,371681,19743.28366709421,0.2529047183042168,0
Female,31,Self Employed,815,Walk-in,20,355564,85909,Savings,14944,179455,9532.45113545861,0.28491137291155305,1
Female,38,Business,566,Online,20,202316,47371,Savings,15174,373516,19840.756837713954,0.7391601789642176,0
